id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
614133019	20170731	1	900000000000207008	226735005	en	900000000000003001	Noodles (substance)	900000000000448009
614134013	20170731	1	900000000000207008	109644008	en	900000000000003001	Overeruption of tooth (disorder)	900000000000448009
2660037019	20070731	1	900000000000207008	87391001	en	900000000000003001	Bone structure of C7 (body structure)	900000000000020002
340490016	20170731	1	900000000000207008	226735005	en	900000000000013009	Noodles	900000000000448009
174282015	20170731	1	900000000000207008	109644008	en	900000000000013009	Overeruption of tooth	900000000000448009
174283013	20170731	1	900000000000207008	109644008	en	900000000000013009	Supraocclusion of tooth	900000000000448009
174284019	20170731	1	900000000000207008	109644008	en	900000000000013009	Supraclusion of tooth	900000000000448009
144894010	20170731	1	900000000000207008	87391001	en	900000000000013009	Seventh cervical vertebra	900000000000448009
144895011	20170731	1	900000000000207008	87391001	en	900000000000013009	Prominent vertebra	900000000000448009
144896012	20170731	1	900000000000207008	87391001	en	900000000000013009	Vertebra prominens	900000000000448009
